QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,TXLIMX,TXLIMX_,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,JSUBSIDY,JSUB_IDY,WIGSX,WIGSX_,JAMTRAKX,JAMT_AKX,JTRANQV,JTRANQV_,LIMO,LIMO_
20202,04215964,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215974,22,0,1,100,D,,A,,A,,A,140,D,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04215984,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215994,19,0,1,,A,,A,,A,,A,,A,,A,,A,85,D,,A,,A,,A,,A,,A
20202,04216014,22,0,1,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A
20202,04216064,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,38,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04216084,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,38,0,1,,A,,A,,A,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A
20202,04216104,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,43,0,1,,A,,A,,A,,A,,A,200,D,,A,250,D,,A,,A,,A,,A,,A
20202,04216164,13,0,1,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216174,33,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04216194,44,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20202,04216204,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A
20202,04216214,37,0,1,,A,,A,,A,,A,,A,300,D,,A,100,D,,A,,A,,A,,A,,A
20202,04216244,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216254,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216274,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216294,24,0,1,,A,,A,,A,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A
20202,04216334,37,0,1,,A,,A,,A,380,D,80,D,,A,,A,40,D,,A,,A,,A,6,D,,A
20202,04216364,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216384,16,0,1,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A
20202,04216414,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216464,38,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04216514,59,0,1,,A,,A,,A,,A,,A,,A,,A,9,D,,A,,A,,A,,A,,A
20202,04216544,49,0,1,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,,A,,A,,A
20202,04216554,11,0,1,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,39,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20202,04216654,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216684,26,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20202,04216744,52,0,1,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20202,04216754,39,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,82,0,1,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20202,04216784,13,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,130,D,,A
20202,04216804,94,0,1,,A,,A,,A,,A,,A,,A,,A,190,D,,A,,A,,A,,A,,A
20202,04216814,34,0,1,,A,,A,,A,,A,,A,60,D,,A,40,D,,A,,A,,A,,A,,A
20202,04216834,6,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216864,49,0,1,,A,,A,,A,,A,,A,,A,,A,27,D,,A,,A,,A,,A,,A
20202,04216874,44,0,1,,A,,A,,A,,A,,A,,A,,A,140,D,,A,,A,,A,,A,,A
20202,04216884,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216894,21,0,1,,A,,A,,A,,A,240,D,,A,,A,45,D,,A,,A,,A,,A,,A
20202,04216924,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216934,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216954,17,0,1,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,46,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216984,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217014,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217034,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217044,9,0,1,,A,,A,,A,60,D,120,D,,A,,A,78,D,,A,,A,,A,,A,,A
20202,04217064,61,0,1,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217114,44,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217134,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217194,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217234,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,54,0,1,,A,,A,,A,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A
20202,04217294,41,0,1,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A
20202,04217314,54,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217354,43,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04217374,40,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217394,23,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20202,04217404,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217414,34,0,1,17,D,,A,,A,,A,43,D,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04217424,26,0,1,,A,,A,,A,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A
20202,04217434,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217454,49,0,1,,A,,A,,A,,A,,A,240,D,,A,400,D,,A,,A,,A,,A,,A
20202,04217464,27,0,1,,A,,A,92,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217494,33,0,1,,A,,A,100,D,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20202,04217514,41,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20202,04217534,13,0,1,,A,,A,,A,50,D,90,D,,A,15,D,,A,,A,,A,,A,,A,,A
20202,04217544,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,46,0,1,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20202,04217594,32,0,1,,A,,A,,A,,A,,A,,A,15,D,300,D,,A,,A,,A,,A,,A
20202,04217634,9,0,1,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217694,23,0,1,,A,,A,,A,,A,40,D,,A,99,D,,A,,A,,A,,A,,A,,A
20202,04217724,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217804,23,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04217824,33,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04217844,42,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20202,04217864,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217884,13,0,1,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217954,21,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04217984,42,0,1,,A,,A,,A,,A,,A,,A,,A,22,D,,A,,A,,A,,A,,A
20202,04218014,63,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04218044,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218054,18,0,1,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,A,260,D,,A
20202,04218064,48,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,56,0,1,,A,,A,,A,,A,,A,,A,,A,14,D,,A,,A,,A,,A,,A
20202,04218084,58,0,1,,A,,A,,A,30,D,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20202,04218124,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,57,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218204,30,0,1,,A,,A,,A,,A,,A,20,D,,A,60,D,,A,,A,,A,,A,,A
20202,04218224,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218244,17,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218284,44,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218294,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218304,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,59,0,1,,A,,A,,A,,A,,A,,A,30,F,40,D,,A,,A,,A,,A,,A
20202,04218374,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218414,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218444,50,0,1,,A,,A,,A,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A
20202,04218454,41,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04218464,34,0,1,,A,,A,,A,,A,,A,15,D,,A,15,D,,A,,A,,A,,A,,A
20202,04218484,37,0,1,,A,,A,,A,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A
20202,04218514,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218524,39,0,1,,A,,A,,A,,A,,A,,A,,A,225,D,,A,,A,,A,,A,,A
20202,04218574,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218584,17,0,1,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218614,65,0,1,,A,,A,,A,,A,,A,50,D,,A,370,D,,A,,A,,A,,A,,A
20202,04218624,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218634,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,73,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218654,29,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04218664,28,0,1,,A,40,D,,A,,A,,A,20,D,,A,65,D,,A,,A,,A,,A,,A
20202,04218724,43,0,1,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A
20202,04218744,32,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04218774,48,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04218784,23,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A
20202,04218794,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218864,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218894,56,0,1,,A,,A,,A,,A,,A,,A,,A,250,D,,A,,A,,A,,A,,A
20202,04218904,48,0,1,20,D,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218914,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218934,53,0,1,,A,,A,,A,15,D,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20202,04218944,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218974,25,0,1,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A
20202,04219014,25,0,1,,A,,A,70,D,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04219114,42,0,1,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,,A,,A,,A
20202,04219154,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219224,54,0,1,,A,,A,,A,30,D,,A,100,D,,A,100,D,,A,,A,,A,,A,,A
20202,04219254,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219294,31,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20202,04219334,37,0,1,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20202,04219364,35,0,1,,A,,A,,A,,A,,A,78,D,,A,138,D,,A,,A,,A,,A,,A
20202,04219374,61,0,1,,A,,A,,A,,A,,A,100,D,,A,350,D,,A,,A,,A,,A,,A
20202,04219384,60,0,1,,A,,A,,A,,A,,A,320,D,144,D,360,D,,A,,A,,A,,A,,A
20202,04219394,38,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219444,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219494,54,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219524,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219564,29,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04219574,16,0,1,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219584,42,0,1,,A,,A,,A,250,D,,A,250,D,,A,530,D,,A,,A,,A,,A,,A
20202,04219594,25,0,1,,A,,A,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A
20202,04219604,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219694,50,0,1,,A,,A,,A,,A,,A,,A,,A,140,D,,A,,A,,A,,A,,A
20202,04219814,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219824,37,0,1,,A,,A,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A
20202,04219864,32,0,1,,A,,A,,A,,A,,A,20,D,15,D,18,D,,A,,A,,A,,A,,A
20202,04219884,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219914,29,0,1,,A,,A,,A,,A,,A,30,D,,A,150,D,,A,,A,,A,,A,,A
20202,04219924,49,0,1,,A,,A,,A,,A,,A,60,D,,A,150,D,,A,,A,,A,,A,,A
20202,04219964,32,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04219974,26,0,1,9,D,,A,,A,,A,21,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219994,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,58,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04220164,18,0,1,4,D,,A,,A,17,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220174,10,0,1,,A,,A,,A,,A,40,F,,A,,A,,A,,A,,A,,A,484,F,,A
20202,04220184,18,0,1,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220234,57,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04220274,47,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220294,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220314,28,0,1,,A,,A,,A,200,D,,A,12,D,,A,65,D,,A,,A,,A,325,D,,A
20202,04220324,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220344,12,0,1,,A,,A,,A,,A,20,F,,A,,A,30,D,,A,,A,,A,,A,,A
20202,04220364,10,0,1,,A,,A,,A,,A,140,D,,A,,A,140,D,,A,,A,,A,,A,,A
20202,04220374,38,0,1,,A,,A,,A,,A,,A,,A,18,D,,A,,A,,A,,A,,A,,A
20202,04220384,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220394,18,0,1,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220404,72,0,1,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A
20202,04220474,9,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220514,44,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04220564,30,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04220584,34,0,1,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20202,04220614,41,0,1,,A,,A,,A,,A,,A,,A,,A,85,D,,A,,A,,A,,A,,A
20202,04220664,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220754,27,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20202,04220764,48,0,1,,A,,A,,A,200,D,,A,40,D,,A,120,D,,A,,A,,A,,A,,A
20202,04220784,52,0,1,,A,,A,,A,32,D,,A,23,D,180,D,348,D,,A,,A,,A,,A,,A
20202,04220804,12,0,1,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220834,30,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04220844,43,0,1,,A,,A,,A,,A,117,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220854,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220864,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220874,23,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04220884,60,0,1,80,D,,A,,A,120,D,100,D,,A,,A,450,D,,A,,A,,A,,A,,A
20202,04220914,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220974,49,0,1,,A,,A,40,D,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04221004,40,0,1,,A,,A,,A,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A
20202,04221014,29,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20202,04221034,43,0,1,,A,,A,,A,,A,,A,120,D,,A,30,D,,A,,A,,A,,A,,A
20202,04221054,37,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04221074,48,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221094,54,0,1,,A,,A,,A,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A
20202,04221114,33,0,1,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A,30,D,,A
20202,04221174,20,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04221184,30,0,1,,A,,A,,A,,A,,A,160,D,,A,20,D,,A,,A,,A,600,D,,A
20202,04221194,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221204,36,0,1,,A,,A,150,D,,A,,A,,A,,A,250,D,,A,,A,,A,,A,,A
20202,04221254,24,0,1,,A,,A,,A,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A
20202,04221264,36,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04221304,47,0,1,,A,,A,30,D,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20202,04221324,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221344,21,0,1,,A,,A,,A,200,D,12,D,,A,,A,,A,,A,,A,,A,210,D,,A
20202,04221354,81,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20202,04221374,50,0,1,,A,,A,,A,,A,,A,100,D,,A,200,D,,A,,A,,A,,A,,A
20202,04221384,66,0,1,,A,,A,,A,,A,,A,,A,,A,14,D,,A,,A,,A,,A,,A
20202,04221394,58,0,1,,A,,A,,A,,A,,A,,A,,A,195,D,,A,,A,,A,,A,,A
