QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20202,04214994,46,0,1,01,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,47,0,1,02,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,48,0,1,03,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215034,25,0,1,03,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215034,26,0,1,03,D,600,D,,A,600,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,31,0,1,03,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,48,0,1,02,D,1200,D,,A,1200,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,27,0,1,01,D,10,D,,A,10,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,28,0,1,02,D,10,D,,A,10,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,29,0,1,03,D,10,D,,A,10,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,41,0,1,03,D,20,D,,A,20,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,42,0,1,02,D,20,D,,A,20,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,43,0,1,03,D,24,D,,A,24,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,44,0,2,01,D,40,D,,A,40,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,61,0,1,03,D,78,D,,A,78,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,62,0,1,03,D,1050,D,,A,,H,500,D,2,F,2,D,160,D,140,D,,A,,A,,A,,A,,A,,A,,A
20202,04215174,62,1,1,03,D,,B,,A,1050,E,160,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215214,24,0,1,02,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215214,25,0,1,02,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215214,26,0,2,01,D,19,D,,A,19,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215304,26,0,1,03,D,55,D,,A,55,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215314,29,0,1,01,D,72,D,,A,72,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,42,0,2,01,D,64,D,,A,64,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,51,0,1,01,D,1700,D,,A,1700,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,52,0,1,01,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,44,0,1,01,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215384,18,0,1,02,D,40,D,,A,40,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,69,0,1,01,D,3234,D,,A,3234,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215494,18,0,1,03,D,70,D,,A,70,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,48,0,1,03,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,20,0,1,02,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,21,0,1,01,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,22,0,1,02,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,31,0,2,01,D,54,D,,A,,H,500,D,1,D,2,D,160,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04215724,31,1,2,01,D,,B,,A,35,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,31,2,2,01,D,,B,,A,19,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,34,0,1,03,D,65,D,,A,65,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,35,0,1,01,D,33,D,,A,33,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,36,0,1,02,D,33,D,,A,33,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,37,0,1,03,D,33,D,,A,33,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,29,0,1,03,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,24,0,1,02,D,30,D,,A,30,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,25,0,1,02,D,15,D,,A,15,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215884,31,0,1,03,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215904,33,0,1,02,D,615,D,,A,,H,500,D,1,D,2,D,150,D,380,D,,A,,A,,A,,A,,A,,A,,A
20202,04215904,33,1,1,02,D,,B,,A,615,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215984,38,0,1,03,D,90,D,,A,90,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215994,16,0,1,02,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,35,0,1,03,D,200,D,,A,,H,500,D,2,D,2,D,320,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04216074,35,1,1,03,D,,B,,A,49,E,320,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,35,2,1,03,D,,B,,A,151,E,100,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216084,18,0,1,01,D,62,D,,A,62,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,33,0,1,01,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,34,0,1,02,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,35,0,1,03,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,34,0,1,02,D,3000,D,,A,,H,500,D,1,D,2,D,100,D,110,D,380,D,370,D,,A,,A,,A,,A,,A
20202,04216104,34,1,1,02,D,,B,,A,163,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,34,2,1,02,D,,B,,A,646,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,34,3,1,02,D,,B,,A,1469,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,34,4,1,02,D,,B,,A,722,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,35,0,1,02,D,1500,D,,A,,H,500,D,1,D,2,D,100,D,140,D,160,D,370,D,,A,,A,,A,,A,,A
20202,04216104,35,1,1,02,D,,B,,A,205,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,35,2,1,02,D,,B,,A,374,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,35,3,1,02,D,,B,,A,921,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,36,0,1,01,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,37,0,1,02,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,38,0,2,01,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,38,0,1,02,D,59,D,,A,59,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,39,0,1,02,D,70,D,,A,70,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,40,0,1,02,D,800,D,,A,800,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216244,27,0,1,02,D,63,D,,A,63,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216274,26,0,1,02,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216274,27,0,2,01,D,140,D,,A,140,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216294,20,0,1,02,D,400,D,,A,400,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216334,33,0,1,03,D,6,D,,A,6,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216414,25,0,1,01,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216464,35,0,1,02,D,5,D,,A,5,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216514,54,0,1,01,D,74,D,,A,74,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216514,55,0,1,01,D,196,D,,A,196,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216514,56,0,1,02,D,1250,D,,A,1250,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,35,0,1,02,D,49,D,,A,49,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,36,0,1,03,D,49,D,,A,49,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,35,0,1,02,D,67,D,,A,67,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,87,0,1,01,D,61,D,,A,61,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,88,0,1,01,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,89,0,1,01,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,90,0,1,03,D,656,D,,A,656,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,91,0,1,03,D,350,D,,A,350,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216874,41,0,1,03,D,125,D,,A,,H,500,D,1,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04216874,41,1,1,03,D,,B,,A,102,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216874,41,2,1,03,D,,B,,A,23,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216884,27,0,1,01,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216894,18,0,1,03,D,500,D,,A,,H,500,D,1,F,2,D,100,D,140,D,,A,,A,,A,,A,,A,,A,,A
20202,04216894,18,1,1,03,D,,B,,A,500,E,100,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216924,39,0,1,02,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,43,0,1,03,D,150,D,,A,150,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216984,39,0,2,01,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,58,0,1,03,D,200,D,,A,200,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217234,21,0,1,03,D,217,D,,A,217,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,50,0,1,02,D,112,D,,A,112,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,37,0,1,02,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,38,0,1,03,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217374,36,0,1,02,D,650,D,,A,650,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,35,0,1,01,D,110,D,,A,110,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,36,0,1,01,D,12,D,,A,12,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,37,0,1,02,D,12,D,,A,12,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,38,0,1,03,D,12,D,,A,12,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217414,29,0,1,01,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217434,19,0,2,01,D,100,D,,A,100,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217454,44,0,1,03,D,1200,D,,A,1200,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217454,45,0,1,01,D,105,D,,A,105,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217454,46,0,1,02,D,105,D,,A,105,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217464,24,0,1,03,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217494,30,0,1,01,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217514,37,0,1,02,D,52,D,,A,52,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217514,38,0,1,02,D,25,D,,A,25,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,40,0,1,02,D,50,D,,A,50,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,41,0,1,01,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,42,0,1,01,D,8,D,,A,8,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,43,0,1,02,D,8,D,,A,8,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217594,28,0,1,02,D,26,D,,A,26,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217594,29,0,1,03,D,62,D,,A,62,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217694,19,0,1,01,D,31,D,,A,31,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,25,0,1,03,D,600,D,,A,600,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,26,0,1,03,D,1,D,,A,1,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217824,30,0,1,03,D,150,D,,A,150,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217984,38,0,1,02,D,30,D,,A,30,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,58,0,1,02,D,90,D,,A,90,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,59,0,1,02,D,40,D,,A,40,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,60,0,2,01,D,150,D,,A,150,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,53,0,1,01,D,32,D,,A,32,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,49,0,1,03,D,500,D,,A,500,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,50,0,1,03,D,105,D,,A,105,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,51,0,1,02,D,183,D,,A,183,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,52,0,1,03,D,593,D,,A,593,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,53,0,1,03,D,34,D,,A,34,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,54,0,2,01,D,42,D,,A,42,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,53,0,1,02,D,70,D,,A,70,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218204,27,0,2,01,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218224,37,0,1,02,D,75,D,,A,,H,500,D,2,D,2,D,380,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04218224,37,1,1,02,D,,B,,A,52,E,380,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218224,37,2,1,02,D,,B,,A,23,E,100,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218374,28,0,1,01,D,2000,D,,A,2000,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218414,26,0,1,02,D,15,D,,A,15,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218414,27,0,1,03,D,15,D,,A,15,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218414,28,0,2,01,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218454,38,0,1,03,D,60,D,,A,60,D,380,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218464,31,0,2,01,D,64,D,,A,64,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218514,25,0,1,02,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218514,26,0,2,01,D,160,D,,A,160,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218574,13,0,1,02,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218584,14,0,1,02,D,350,D,,A,350,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218614,60,0,1,03,D,45,D,,A,45,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218614,61,0,1,03,D,30,D,,A,30,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218634,20,0,1,03,D,112,D,,A,112,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,68,0,1,03,D,120,D,,A,120,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,69,0,1,03,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,70,0,2,01,D,120,D,,A,120,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218664,25,0,1,02,D,700,D,,A,700,D,320,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218724,39,0,1,02,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218724,40,0,2,01,D,92,D,,A,92,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218774,44,0,1,01,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218774,45,0,1,01,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218894,52,0,1,01,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,39,0,1,03,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,40,0,1,03,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,41,0,1,01,D,700,D,,A,700,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,42,0,1,03,D,170,D,,A,170,D,360,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,43,0,1,01,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,44,0,1,02,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,45,0,1,03,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218914,37,0,1,02,D,90,D,,A,90,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218934,50,0,1,02,D,125,D,,A,125,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218974,21,0,1,03,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219014,21,0,1,03,D,99,D,,A,99,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219224,51,0,1,01,D,1000,D,,A,1000,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219294,28,0,1,03,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219334,32,0,1,02,D,700,D,,A,,H,500,D,2,F,2,D,110,D,370,D,380,D,140,D,,A,,A,,A,,A,,A
20202,04219334,32,1,1,02,D,,B,,A,304,E,110,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219334,32,2,1,02,D,,B,,A,195,E,370,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219334,32,3,1,02,D,,B,,A,201,E,380,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219364,32,0,1,02,D,160,D,,A,160,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219374,57,0,2,01,D,800,D,,A,800,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219374,58,0,2,01,D,200,D,,A,200,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219384,56,0,1,02,D,68,D,,A,68,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219384,57,0,1,03,D,23,D,,A,23,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219494,51,0,2,01,D,65,D,,A,65,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219524,33,0,1,03,D,24,D,,A,24,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219564,23,0,1,02,D,55,D,,A,55,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219564,24,0,1,02,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
